Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980
BDI,Burundi,BI,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"81,42222222"
BDI,Burundi,BI,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"194,1777778"
BDI,Burundi,BI,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"79,81795441"
BDI,Burundi,BI,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"13,08048023"
BDI,Burundi,BI,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"66,73747418"
BDI,Burundi,BI,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"11,30101726"
BDI,Burundi,BI,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"4,970316044"
BDI,Burundi,BI,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"6,330701214"
BDI,Burundi,BI,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"6,973211053"
BDI,Burundi,BI,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"16,62989033"
BDI,Burundi,BI,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-70,38021108"
BDI,Burundi,BI,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"200,9109514"
BDI,Burundi,BI,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"271,2911625"
BDI,Burundi,BI,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-6,027544477"
BDI,Burundi,BI,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"17,20653685"
BDI,Burundi,BI,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"23,23408133"
BDI,Burundi,BI,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-83,42614067"
BDI,Burundi,BI,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-7,144831845"
BDI,Burundi,BI,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
CMR,Cameroon,CM,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
